seed,deletion_rate,candidate,k_reg,penalty,threshold,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,full_vocabulary_set_rate,target_coverage,selection_tolerance,selected,selection_feasible,selection_target_coverage,selection_coverage_tolerance,selection_observed_label_coverage,selection_full_set_coverage,selection_mean_size,selection_p90_size
17,0,raps_k50_lam0p0005,50,0.0005,2.137754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k50_lam0p001,50,0.001,3.37099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.01,True,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k50_lam0p002,50,0.002,5.834894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k100_lam0p0001,100,0.0001,1.149698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k100_lam0p0005,100,0.0005,2.112754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k100_lam0p001,100,0.001,3.32099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k100_lam0p002,100,0.002,5.734894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k250_lam0p0001,250,0.0001,1.134698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k250_lam0p0005,250,0.0005,2.037754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k250_lam0p001,250,0.001,3.17099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k250_lam0p002,250,0.002,5.434894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k500_lam0p0001,500,0.0001,1.109698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k500_lam0p0005,500,0.0005,1.912754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k500_lam0p001,500,0.001,2.92099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k500_lam0p002,500,0.002,4.934894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k1000_lam0p0001,1000,0.0001,1.059698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k1000_lam0p0005,1000,0.0005,1.662754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k1000_lam0p001,1000,0.001,2.42099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,raps_k1000_lam0p002,1000,0.002,3.934894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.01,False,True,0.88,0.01,0.8703459638,0.8610031464,2511.865815,2816.784638
17,0,aps,0,0,0.9999731675,0.8533772652,0.8691467703,0.8798229379,4538.219878,6529.91079,7124.857264,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p0001,50,0.0001,1.154698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.02,True,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p0005,50,0.0005,2.137754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p001,50,0.001,3.37099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p002,50,0.002,5.834894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p0001,100,0.0001,1.149698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p0005,100,0.0005,2.112754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p001,100,0.001,3.32099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p002,100,0.002,5.734894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p0001,250,0.0001,1.134698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p0005,250,0.0005,2.037754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p001,250,0.001,3.17099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p002,250,0.002,5.434894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k500_lam0p0001,500,0.0001,1.109698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k500_lam0p0005,500,0.0005,1.912754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k500_lam0p001,500,0.001,2.92099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k500_lam0p002,500,0.002,4.934894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p0001,1000,0.0001,1.059698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p0005,1000,0.0005,1.662754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p001,1000,0.001,2.42099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p002,1000,0.002,3.934894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.02,False,True,0.88,0.02,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,aps,0,0,0.9999731675,0.8533772652,0.8691467703,0.8798229379,4538.219878,6529.91079,7124.857264,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p0001,50,0.0001,1.154698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.03,True,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p0005,50,0.0005,2.137754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p001,50,0.001,3.37099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k50_lam0p002,50,0.002,5.834894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p0001,100,0.0001,1.149698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p0005,100,0.0005,2.112754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p001,100,0.001,3.32099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k100_lam0p002,100,0.002,5.734894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p0001,250,0.0001,1.134698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p0005,250,0.0005,2.037754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p001,250,0.001,3.17099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k250_lam0p002,250,0.002,5.434894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k500_lam0p0001,500,0.0001,1.109698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k500_lam0p0005,500,0.0005,1.912754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k500_lam0p001,500,0.001,2.92099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
